CS_WarnFriendlyDamageInterval | gamedll,cheat | Defines how frequently the server notifies clients that a player damaged a friend
bot_chatter | gamedll,release,commandline_enforced | Control how bots talk. Allowed values: 'off', 'radio', 'minimal', or 'normal'.
bot_chatter_use_rr | developmentonly,gamedll | 0 = Use old bot chatter system, 1 = Use response rules
bot_controllable | gamedll,release | Determines whether bots can be controlled by players
bot_coop_idle_max_vision_distance | gamedll,replicated,release,commandline_enforced | Max distance bots can see targets (in coop) when they are idle, dormant, hiding or asleep.
bot_crouch | gamedll,cheat | 
bot_debug | gamedll,cheat | For internal testing purposes.
bot_debug_target | gamedll,cheat | For internal testing purposes.
bot_defense_rush_chance | gamedll,cheat | Are the defense bots going to rush.
bot_defer_to_human_goals | gamedll,release,commandline_enforced | If nonzero and there is a human on the team, the bots will not do the scenario tasks.
bot_defer_to_human_items | gamedll,release,commandline_enforced | If nonzero and there is a human on the team, the bots will not get scenario items.
bot_difficulty | gamedll,release,commandline_enforced | Defines the skill of bots joining the game.  Values are: 0=easy, 1=normal, 2=hard, 3=expert.
bot_dont_shoot | gamedll,cheat,release | If nonzero, bots will not fire weapons (for debugging).
bot_eco_limit | gamedll,release | If nonzero, bots will not buy if their money falls below this amount.
bot_flipout | gamedll,release | If nonzero, bots use no CPU for AI. Instead, they run around randomly.
bot_force_duck | developmentonly,gamedll,defensive | 
bot_freeze | gamedll,cheat | 
bot_ignore_enemies | gamedll,cheat | If nonzero, bots will ignore enemies (for debugging).
bot_ignore_players | gamedll,cheat | Bots will not see non-bot players.
bot_join_after_player | gamedll,release | If nonzero, bots wait until a player joins before entering the game.
bot_join_delay | developmentonly,gamedll,defensive | Prevents bots from joining the server for this many seconds after a map change.
bot_join_in_warmup | developmentonly,gamedll,defensive | Prevents bots from joining the server while warmup phase is active.
bot_join_team | gamedll,release | Determines the team bots will join into. Allowed values: 'any', 'T', or 'CT'.
bot_loadout | gamedll,cheat | bots are given these items at round start
bot_max_visible_smoke_length | gamedll,replicated,release | Bots will see players through smoke clouds up to this length.
bot_max_vision_distance_override | gamedll,replicated,release,commandline_enforced | Max distance bots can see targets.
bot_mimic | gamedll,clientdll,replicated,cheat | Bot uses usercmd of player by index.
bot_mimic_spec_buttons | clientdll,cheat | +attack, +jump etc are used for spectator control instead of being passed on to spectated bot
bot_mimic_yaw_offset | gamedll,cheat | 
bot_prefix | gamedll,release | This string is prefixed to the name of all bots that join the game. <difficulty> will be replaced with the bot's difficulty. <weaponclass> will be replaced with the bot's desired weapon class. <skill> will be replaced with a 0-100 representation of the bot's skill.
bot_quota | gamedll,release,commandline_enforced | Determines the total number of bots in the game.
bot_quota_mode | gamedll,release,commandline_enforced | Determines the type of quota. Allowed values: 'normal', 'fill', and 'match'. If 'fill', the server will adjust bots to keep N players in the game, where N is bot_quota. If 'match', the server will maintain a 1:N ratio of humans to bots, where N is bot_quota.
bot_randombuy | gamedll,cheat | should bots ignore their prefered weapons and just buy weapons at random?
bot_show_battlefront | gamedll,cheat | Show areas where rushing players will initially meet.
bot_show_nav | gamedll,cheat | For internal testing purposes.
bot_show_occupy_time | gamedll,cheat | Show when each nav area can first be reached by each team.
bot_stop | gamedll,cheat | bot_stop <1|all> | <not_bomber> | <t> | <ct>
bot_strafe | gamedll,release | Strafe left and right (interval)
bot_traceview | gamedll,cheat | For internal testing purposes.
bot_walk | gamedll,release | If nonzero, bots can only walk, not run.
bot_zombie | gamedll,cheat | If nonzero, bots will stay in idle mode and not attack.
break_damage_inherit_scale | developmentonly,gamedll,clientdll,replicated,defensive | 
break_invulnerable_spawn_duration | developmentonly,gamedll,clientdll,replicated,defensive | 
breakable_debug_spawn_transform_time | developmentonly,gamedll,clientdll,replicated | Debug draw the spawn transform location.
breakable_multiplayer | developmentonly,gamedll,defensive | 
buddha | gamedll,cheat | Player takes damage but won't die
buddha_ignore_bots | gamedll,cheat | Bots always buddha 0
buddha_reset_hp | gamedll,cheat | HP to set when damaged below zero in Buddha Mode
bug_submitter_override |  | 
buildcubemaps_renderdoc_capture | developmentonly,clientdll | Capture a specific cubemap with RenderDoc during buildcubemaps.
c_maxdistance | clientdll | 
c_maxpitch | clientdll | 
c_maxyaw | clientdll | 
c_mindistance | clientdll | 
c_minpitch | clientdll | 
c_minyaw | clientdll | 
c_orthoheight | clientdll | 
c_orthowidth | clientdll | 
c_thirdpersonshoulder | clientdll | 
c_thirdpersonshoulderaimdist | clientdll | 
c_thirdpersonshoulderdist | clientdll | 
c_thirdpersonshoulderheight | clientdll | 
c_thirdpersonshoulderoffset | clientdll | 
cachedvalue_count_partybrowser | clientdll,hidden | 
cachedvalue_count_teammates | clientdll,hidden | 
cam_collision | clientdll | When in thirdperson and cam_collision is set to 1, an attempt is made to keep the camera from passing though walls.
cam_idealdelta | clientdll | Controls the speed when matching offset to ideal angles in thirdperson view
cam_idealdist | clientdll | 
cam_ideallag | clientdll | Amount of lag used when matching offset to ideal angles in thirdperson view
cam_idealpitch | clientdll | 
cam_idealyaw | clientdll | 
cam_showangles | clientdll,cheat | When in thirdperson, print viewangles/idealangles/cameraoffsets to the console.
cam_snapto | clientdll | 
camera_datadriven_debug | developmentonly,clientdll,cheat | 
camera_datadriven_disable_cache | developmentonly,gamedll,cheat | 
camera_path_edit_mode | gamedll,clientdll,replicated,cheat | 
cash_player_bomb_defused | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_player_bomb_planted | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_player_damage_hostage | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_player_drop_on_death | developmentonly,gamedll,clientdll,replicated,release,commandline_enforced | 
cash_player_drop_on_death_stack_value | developmentonly,gamedll,clientdll,replicated,release,commandline_enforced | 
cash_player_get_killed | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_player_interact_with_hostage | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_player_killed_enemy_default | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_player_killed_enemy_factor | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_player_killed_hostage | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_player_killed_teammate | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_player_rescued_hostage | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_player_respawn_amount | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_bonus_shorthanded | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_elimination_bomb_map | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_elimination_hostage_map_ct | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_elimination_hostage_map_t | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_hostage_alive | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_hostage_interaction | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_loser_bonus | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_loser_bonus_consecutive_rounds | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_per_dead_enemy | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_planted_bomb_but_defused | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_rescued_hostage | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_terrorist_win_bomb | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_win_by_defusing_bomb | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_win_by_hostage_rescue | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_win_by_time_running_out_bomb | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_win_by_time_running_out_hostage | gamedll,clientdll,replicated,release,commandline_enforced | 
cash_team_winner_bonus_consecutive_rounds | gamedll,clientdll,replicated,release | 
cc_captiontrace | developmentonly,clientdll,defensive | Show missing closecaptions (0 = no, 1 = devconsole, 2 = show in hud)
cc_delay_time | clientdll | Close caption delay before showing caption.
cc_force_combine_chatter | developmentonly,clientdll,defensive | 
cc_lang | clientdll | Current close caption language (emtpy = use game UI language)
cc_linger_time | clientdll | Close caption linger time.
cc_log | developmentonly,clientdll,defensive | Log caption names and contents (0 = off, 1 = found captions, 2 = unfound captions, 3 = all captions)
cc_spectator_only | clientdll | 
cc_subtitles | clientdll | If set, don't show sound effect captions, just voice overs (i.e., won't help hearing impaired players).
cc_vr_caption_catchup_interval | developmentonly,clientdll,defensive | Duration it takes for attached caption to ideal point
cc_vr_caption_speed | clientdll | 0 = slow, 1 = medium (default), 2 = fast
cc_vr_debug | developmentonly,clientdll,defensive | Debug visualization of VR closed caption placement
cc_vr_depth_test | developmentonly,clientdll,defensive | Have closed caption Panorama panel perform depth testing against the scene
cc_vr_epsilon | developmentonly,clientdll,defensive | Epsilon to trigger movement of VR subtitle panel in world space
cc_vr_font_size | clientdll | 0 = small, 1 = med (default), 2 = large
cc_vr_forward_offset | developmentonly,clientdll,defensive | Subtitle offset distance (forward, in front of player)
cc_vr_vertical_offset | developmentonly,clientdll,defensive | Subtitle vertical offset distance (positive is up)
cc_vr_width | clientdll | 0 = narrow, 1 = med (default), 2 = wide
character_patches | developmentonly,clientdll | 
check_transmit_dump_ents | developmentonly,gamedll | 
chicken_stop | gamedll,cheat | 
cl_ShowBoneSetupEnts | developmentonly,clientdll,defensive | Show which entities are having their bones setup each frame.
cl_access_all_missions | developmentonly,clientdll | 
cl_ag2_record_entity_graph | developmentonly,clientdll | Automatically start AG2 recording when an entity with this name (wildcard) or id is created.
cl_aggregate_particles | reference | 
cl_allow_animated_avatars | clientdll,release | Whether or not to allow animated avatars
cl_allow_multi_input_binds | clientdll,cheat,release | 
cl_anglespeedkey | developmentonly,clientdll,defensive | 
cl_async_client_shatter | developmentonly,clientdll | spawn client glass shards asynchronously during demos or when remotely connected.
cl_async_restore_server_authoritative_state | developmentonly,clientdll | 
cl_async_usercmd_send | developmentonly | 
cl_async_usercmd_send_recvmargin_min | developmentonly,defensive | Min size of the recv margin queue when async usercmd send is disabled
cl_autobuy | clientdll,release | The order in which autobuy will attempt to purchase items
cl_autohelp | clientdll | Auto-help
cl_bake_bomb_damage_debug | clientdll,cheat | 
cl_batch_entity_list_ops_during_latch | developmentonly,clientdll | Batch entity list adds / removes while latching interpolated variables to avoid mutex contention.
cl_bone_cache_optimization | developmentonly,clientdll | 
cl_borrow_music_from_player_slot | clientdll,release | 
cl_boxmove | developmentonly,clientdll | run in a square, # represents how many usercommands to run before turning.
cl_boxmove_speed | developmentonly,clientdll | how fast to run (1 to use player max run speed).
cl_buffer_incoming_net_messages | release | 
cl_buymenu_ct_nextround_high | clientdll,per_user,release | 
cl_buymenu_ct_nextround_low | clientdll,per_user,release | 
cl_buymenu_t_nextround_high | clientdll,per_user,release | 
cl_buymenu_t_nextround_low | clientdll,per_user,release | 
cl_buywheel_donate_key | clientdll,per_user,release | Set the key to use for donation in the buy menu. 0: Left Control; 1: Left Alt; 2: Left Shift.
cl_buywheel_nonumberpurchasing | clientdll,per_user,release | Set non-zero to prevent buy wheel from purchasing via number keys
cl_cache_sendtable | developmentonly,defensive | Cache sendtables
cl_cameraoverride_fade_in_amount | developmentonly,clientdll,defensive | 
cl_cameraoverride_shadow_depth_bias | developmentonly,clientdll,defensive | 
cl_cameraoverride_shadow_end | developmentonly,clientdll,defensive | 
cl_change_callback_limit | clientdll,release | change callback msec warning limit
cl_chat_active | developmentonly,clientdll,defensive | 
cl_clanid | clientdll,hidden | Current clan ID for name decoration
cl_clock_buffer_ticks | developmentonly | Clock sync will try to maintain an additional margin of N ticks.  This is intended to smooth over packet loss, and is a replacement for cl_interp_ratio / cl_interp.  This value is simply added to cl_clock_recvmargin_desired
cl_clock_buffer_ticks_spectator | developmentonly | Additional margin (in ticks) to apply when spectating.
cl_clock_correction | cheat | Enable/disable clock correction on the client.
cl_clock_recvmargin_adjust_limit_slowdown | developmentonly | Clock sync will not slow down time slower than N%
cl_clock_recvmargin_adjust_limit_speedup | developmentonly | Clock sync will not speed up time faster than N%
cl_clock_recvmargin_desired | developmentonly | Clock sync will try to maintain N ms margin between tick arrival and polling network.  The effective value is the sum of this and the time implied by cl_clock_buffer_ticks
cl_clock_recvmargin_spew_interval | release | 
cl_clock_recvmargin_timeconstant_slowdown | developmentonly | Clock sync will remove 63.2% of the error in N seconds
cl_clock_recvmargin_timeconstant_speedup | developmentonly | Clock sync will remove 63.2% of the error in N seconds
cl_clock_recvmargin_window | developmentonly | Clock sync will use past N seconds
cl_clockdbg | developmentonly,defensive | 
cl_clockdrift_max_ticks | hidden,release | Maximum number of ticks the clock is allowed to drift before the client snaps its clock to the server's.
cl_clutch_mode | clientdll,release | Silence voice and other distracting sounds until the end of round or next death.
cl_color | clientdll | Preferred teammate color
cl_connectionretrytime_p2p | release | Number of seconds over which to spread retry attempts for P2P.
cl_cq_min_queue |  | Used by the client to inform the server of their desired queue length.  Derived from cl_tickpacket_recvmargin_desired and cl_tickpacket_desired_queuelength
cl_crosshair_drawoutline | clientdll,per_user | Draws a black outline around the crosshair for better visibility
cl_crosshair_dynamic_maxdist_splitratio | clientdll,per_user | If using cl_crosshairstyle 2, this is the ratio used to determine how long the inner and outer xhair pips will be. [inner = cl_crosshairsize*(1-cl_crosshair_dynamic_maxdist_splitratio), outer = cl_crosshairsize*cl_crosshair_dynamic_maxdist_splitratio]  [0 - 1]
cl_crosshair_dynamic_splitalpha_innermod | clientdll,per_user | If using cl_crosshairstyle 2, this is the alpha modification that will be used for the INNER crosshair pips once they've split. [0 - 1]
cl_crosshair_dynamic_splitalpha_outermod | clientdll,per_user | If using cl_crosshairstyle 2, this is the alpha modification that will be used for the OUTER crosshair pips once they've split. [0.3 - 1]
cl_crosshair_dynamic_splitdist | clientdll,per_user | If using cl_crosshairstyle 2, this is the distance that the crosshair pips will split into 2. (default is 7)
cl_crosshair_friendly_warning | clientdll,release | 0: off, 1: on
cl_crosshair_outlinethickness | clientdll,per_user | Set how thick you want your crosshair outline to draw (0-3)
cl_crosshair_recoil | clientdll,per_user | 
cl_crosshair_show_desynced_seeds_marker | developmentonly,clientdll | 
cl_crosshair_sniper_width | clientdll,per_user | If >1 sniper scope cross lines gain extra width (1 for single-pixel hairline)
cl_crosshair_t | clientdll,per_user | T style crosshair
cl_crosshairalpha | clientdll,per_user | 
cl_crosshaircolor | clientdll,per_user | Set crosshair color as defined in game_options.consoles.txt
cl_crosshaircolor_b | clientdll,per_user | 
cl_crosshaircolor_g | clientdll,per_user | 
cl_crosshaircolor_r | clientdll,per_user | 
cl_crosshairdot | clientdll,per_user | 
cl_crosshairgap | clientdll,per_user | 
cl_crosshairgap_useweaponvalue | clientdll,per_user | If set to 1, the gap will update dynamically based on which weapon is currently equipped
cl_crosshairsize | clientdll,per_user | 
cl_crosshairstyle | clientdll,per_user | 0 = DEFAULT (DISABLED), 1 = DEFAULT STATIC (DISABLED), 2 = DEFAULT (accurate recoil/spread feedback with a fixed inner part), 3 = ACCURATE DYNAMIC (DISABLED) (accurate recoil/spread feedback), 4 = DEFAULT STATIC, 5 = LEGACY (fake recoil - inaccurate feedback)
cl_crosshairthickness | clientdll,per_user | 
cl_crosshairusealpha | clientdll,per_user | 
cl_csgo_shoot_debugvis_rdp_text_l | developmentonly,clientdll | 
cl_csgo_shoot_debugvis_rdp_text_x | developmentonly,clientdll | 
cl_csgo_shoot_debugvis_show_los | developmentonly,clientdll | Show line of last shot.
cl_csgo_shoot_debugvis_show_rdp | developmentonly,clientdll | 
cl_csgo_shoot_trim_input_frames | developmentonly,clientdll | 
cl_deathcam_audio_mix_phase1_fade_amount | clientdll,release | Sets the amount of ducking to do on death cam fade out. When set to 1, full DeathFadeLayer is applied.
cl_deathcam_audio_mix_phase1_fade_time | clientdll,release | Sets the amount of time we fade out over.
cl_deathcam_audio_mix_phase2_fade_amount | clientdll,release | Sets the amount of ducking to do on death cam fade out. When set to 1, full DeathFadeLayer is applied.
cl_deathcam_audio_mix_phase2_fade_time | clientdll,release | Sets the amount of time we fade out over.
cl_deathcampanel_position_dynamic | clientdll | Turn on/off deathcam's kill panel dynamic Y movement
cl_deathnotices_show_numbers | clientdll,release | 0: default; 1: draw names as just numbers; 2: append number on killer and victim to the name
cl_debounce_zoom | clientdll,per_user | Whether or not to disable holding secondary fire to cycle zoom levels
cl_debug_build_recvmargin_min | developmentonly,defensive | Min size of the recv margin queue when in tools/debug mode
cl_debug_force_push_to_talk | developmentonly,clientdll,defensive | 
cl_debug_overlay_fullposition | developmentonly,clientdll,defensive | 
cl_debug_overlays_broadcast | release | Render debug overlays from server.
cl_debug_precipitation_surface_graph | clientdll,replicated,cheat | When true, use the surface graph to pass in positions for rainfall. 
cl_debug_round_stat_submission | developmentonly,clientdll | 
cl_debugviewangle | developmentonly,clientdll | Plots view angles yaw at various stages of the frame/tick in Tracy.
cl_demo_predict | clientdll,release | Enable 'TrueView' when watching a demo, which attempts to recreate the client's experience more accurately.  0=disable, 1=only if demo version match, 2=always
cl_demo_steadycam_blendframes | developmentonly,clientdll,defensive | blend over this many frames
cl_demo_steadycam_deflection | developmentonly,clientdll,defensive | if camera orientation changes this much update orientation
cl_demo_steadycam_enable | developmentonly,clientdll,defensive | Stabilize camera orientation/position during demo playback.  1 == remove roll, 2 == steadycam
cl_demo_steadycam_radius | developmentonly,clientdll,defensive | if camera moves this much from last anchor update anchor
cl_demo_view_offset_left | developmentonly,clientdll,defensive | View offset during demo playback (+/- 1.25 is a good default for human average left/right eye offset)
cl_demoviewoverride | developmentonly,clientdll,defensive | Override view during demo playback
cl_disable_deathcam_audio_mix_fade_out | clientdll,release | When set to true, disables audio being silenced while the death cam fades out.
cl_disable_postprocessing | clientdll,cheat | 
cl_disable_ragdolls | clientdll,cheat | 
cl_disable_round_end_report | clientdll,release | 
cl_disconnect_soundevent | developmentonly,defensive | This soundevent is called to stop the desired soundevents when the game is disconnected.
cl_disconnect_voice_fade | developmentonly,defensive | This is a fade of current voices that is called when the game is disconnected. -1.f for no fade on disconnect
cl_display_flashbang_values | developmentonly,clientdll | 
cl_display_game_events | clientdll,cheat | 
cl_display_player_visibilty | developmentonly,clientdll | 
cl_dm_buyrandomweapons | clientdll,release | Player will automatically receive a random weapon on spawn in deathmatch if this is set to 1 (otherwise, they will receive the last weapon)
cl_dormant_spew | developmentonly,clientdll,defensive | Spew state on when client entities become dormant or active.
cl_draw_only_deathnotices | clientdll,release | For drawing only the crosshair and death notices (used for moviemaking)
cl_draw_simulating_entities | clientdll,cheat | 
cl_draw_simulating_entities_distance | developmentonly,clientdll,defensive | 
