_fov | developmentonly,clientdll,defensive | Automates fov command to server.
ai_debug_shoot_positions | gamedll,clientdll,replicated,cheat | 
ai_debug_speech | developmentonly,gamedll,defensive | 
ai_debug_squads | developmentonly,gamedll | 
ai_debug_squadslotusage | gamedll,cheat | Report squad slot usage for npc_selected NPCs.
ai_debug_volumetric_event | developmentonly,gamedll,defensive | Reports events being entered into the AI events list. Set to 1 to see all events, set to 2 to only see DANGER events.
ai_debug_volumetric_event_duration | developmentonly,gamedll,defensive | Length of time to display ai_debug_volumetric_event visual displays.
ai_debugscriptconditions | developmentonly,gamedll,defensive | 
ai_disabled | gamedll,clientdll,replicated,cheat | 
ai_doors_force_animation | developmentonly,gamedll,defensive | 
ai_elude_time | developmentonly,gamedll,defensive | 
ai_facingservices_debug_reasonablefacing | gamedll,cheat | Debug logic for finding reasonable facing.
ai_facingservices_debug_spew | gamedll,cheat | Adds spew to the facing target for the selected NPC
ai_facingservices_draw_entity_facing | gamedll,cheat | 
ai_facingservices_generated_target_min_duration | developmentonly,gamedll | 
ai_foot_sweep_debug | developmentonly,gamedll | 
ai_foot_sweep_enable | developmentonly,gamedll | 
ai_foot_sweep_hit_impulse | developmentonly,gamedll | 
ai_foot_sweep_hit_impulse_min_mass | developmentonly,gamedll | 
ai_foot_sweep_move_scale | developmentonly,gamedll | 
ai_foot_sweep_perp_apply | developmentonly,gamedll | 
ai_foot_sweep_perp_base | developmentonly,gamedll | 
ai_foot_sweep_perp_scale | developmentonly,gamedll | 
ai_footstep_delay | developmentonly,gamedll | 
ai_force_serverside_ragdoll | developmentonly,gamedll,defensive | 
ai_gather_conditions_async | developmentonly,gamedll,defensive | Allow gathering of conditions to be done asynchronously.
ai_hull_trace_epsilon | developmentonly,gamedll,defensive | 
ai_ignore_collision_player_noclip | gamedll,cheat | 
ai_inhibit_spawners | gamedll,cheat | 
ai_keep_interrupt_path_across_schedules | gamedll,cheat | 
ai_local_navigator_direct_test_versus_static_collision | developmentonly,gamedll,defensive | 
ai_local_navigator_navmesh_enable | developmentonly,gamedll,defensive | 
ai_lod_auto_enabled | developmentonly,gamedll | 
ai_lod_debug_display | developmentonly,gamedll | 
ai_motor_debug | gamedll,cheat | 
ai_motor_debug_additional_movement_settings | gamedll,cheat | 
ai_motor_debug_ag1_path | gamedll,cheat | 
ai_motor_debug_hop | gamedll,cheat | 
ai_motor_debug_idle_turn | gamedll,cheat | 
ai_motor_debug_move_heading | gamedll,cheat | 
ai_motor_debug_move_heading_bad_zones | gamedll,cheat | 
ai_motor_debug_override_path | gamedll,cheat | 
ai_motor_debug_show_current_state | gamedll,cheat | 
ai_motor_debug_show_speed_info | gamedll,cheat | 
ai_motor_debug_state_deadlocks | gamedll,cheat | 
ai_motor_debug_stop | gamedll,cheat | 
ai_motor_debug_transitions | gamedll,cheat | 
ai_motor_enable_move_heading_bad_zones | gamedll,cheat | 
ai_motor_ground_enable_detailed_debug_data | gamedll,cheat | 
ai_motor_max_state_time_active | gamedll,cheat | 
ai_motor_move_direction_lookahead | gamedll,cheat | 
ai_motor_nav_links_force_facing_time | gamedll,cheat | 
ai_motor_path_alignment_max_angular_velocity | gamedll,cheat | 
ai_motor_planted_turn_lookahead_distance | gamedll,cheat | 
ai_motor_planted_turn_lookahead_distance_speed | gamedll,cheat | 
ai_motor_procedural_idle_turn_speed | gamedll,cheat | 
ai_motor_procedural_idle_turn_threshold | gamedll,cheat | 
ai_motor_procedural_turn_while_stopping_threshold | gamedll,cheat | 
ai_motor_use_fast_move_heading_bad_zone_pass | gamedll,cheat | 
ai_moveprobe_debug | developmentonly,gamedll,defensive | 
ai_moveprobe_jump_debug | developmentonly,gamedll,defensive | 
ai_navigator_clipped_path_save | developmentonly,gamedll,defensive | 
ai_navigator_clipped_path_use_interrupt | developmentonly,gamedll,defensive | 
ai_navigator_disable_collision_on_stuck | gamedll,cheat | 
ai_navigator_draw_type_change | developmentonly,gamedll,defensive | 
ai_navigator_draw_wait_for_facing | developmentonly,gamedll,replicated,defensive | Show when a NPC is waiting for facing tolerance to be reached while at the end of its path
ai_navigator_place_waypoints_on_ground | developmentonly,gamedll,replicated,defensive | 
ai_navigator_repath_enable | gamedll,cheat | Enable dynamic repathing based on goal movement.
ai_navigator_repath_on_change | gamedll,cheat | When nav mesh changes along an NPC's existing path, force a repath.
ai_navigator_repath_tolerance_alpha | gamedll,cheat | The distance a target entity can move before triggering a repath is ( arrival time * ai_navigator_repath_tolerance_alpha ), clamped to the min / max allowed values.
ai_navigator_repath_tolerance_max | gamedll,cheat | The maximum distance that a target entity can move before triggering a repath to that target.
ai_navigator_repath_tolerance_min | gamedll,cheat | The minimum distance that a target entity can move before triggering a repath to that target.
ai_navigator_repath_tolerance_min_speed | gamedll,cheat | When calculating repathing tolerance, clamp entity speed to be at least this value (i.e. consider slow entities to be this fast).
ai_navigator_snap_to_ground_goal | gamedll,cheat | 
ai_navigator_use_arrival_direction | gamedll,cheat | 
ai_no_steer | developmentonly,gamedll,defensive | 
ai_off_nav_show_nearest | gamedll,cheat | 
ai_path_draw_active | developmentonly,gamedll,replicated,defensive | 0 = no debug, 1 = draw waypoint path
ai_path_draw_cached_values | developmentonly,gamedll,replicated,defensive | Display draw cached values like Actual Goal Position.
ai_path_draw_fail | developmentonly,gamedll,replicated,defensive | Draw failed pathfinding attempts
ai_path_draw_on_calc | developmentonly,gamedll,replicated,defensive | Number of seconds to draw an AI path after it is calculated.
ai_path_draw_selected | developmentonly,gamedll,replicated,defensive | If true, draw AI path for selected NPC.
ai_path_draw_src | developmentonly,gamedll,replicated,defensive | Display calling code that created the path goal.
ai_path_draw_waypoint_mark | developmentonly,gamedll,replicated,defensive | 0: Draw nothing at waypoints; 1: Draw a tick mark at waypoints; 2: Draw a shape around waypoints.
ai_path_draw_waypoint_type_label | developmentonly,gamedll,replicated,defensive | 1 = draw labels of waypoint types during ai_path_draw_active
ai_path_draw_yaw | developmentonly,gamedll,replicated,defensive | Display yaw value for path goal.
ai_path_return_a | developmentonly,gamedll | 
ai_path_return_d | developmentonly,gamedll | 
ai_path_return_parallel_speed | developmentonly,gamedll | 
ai_path_return_t | developmentonly,gamedll | 
ai_path_show_discard_immediately | gamedll,cheat | 
ai_plane_solver_debug | developmentonly,gamedll,defensive | 
ai_plane_solver_use_navmesh | developmentonly,gamedll,defensive | 
ai_ragdoll_phys_death_multiplier | developmentonly,gamedll,defensive | 
ai_report_task_timings_on_limit | gamedll | 
ai_select_box_alpha | gamedll | The select box alpha.
ai_select_box_style | developmentonly,gamedll,defensive | How selected NPC's are highlighted. ( 0 = no highlight, 1 = npc hull, 2 = cross at origin )
ai_sequence_debug | developmentonly,gamedll,clientdll,replicated,defensive | 
ai_show_gravity | developmentonly,gamedll | 1 = show gravity when applied, 2 = always show gravity
ai_show_hitlocation | developmentonly,gamedll | 
ai_show_task_fail | gamedll,cheat | 
ai_show_think_tolerance | developmentonly,gamedll,defensive | 
ai_strong_optimizations_no_checkstand | developmentonly,gamedll,defensive | 
ai_temp_difference_for_instant_ignite | gamedll,cheat | how much hotter than the npc's flashpoint a heat source should be to instantly ignite them.
ai_test_moveprobe_ignoresmall | developmentonly,gamedll,defensive | 
ai_think_interval | developmentonly,gamedll,defensive | Time interval between NPC thinks
ai_think_interval_lod_low | developmentonly,gamedll,defensive | Time interval between NPC thinks when set to AI LOD low.
ai_think_interval_lod_med | developmentonly,gamedll,defensive | Time interval between NPC thinks when set to AI LOD medium.
ai_think_interval_lod_very_low | developmentonly,gamedll,defensive | Time interval between NPC thinks when set to AI LOD very low.
ai_think_limit_label | gamedll | 
ai_threaded_pathfind | developmentonly,gamedll,defensive | 
ai_time_to_ignite | gamedll,cheat | How long an npc has to be exposed to heat above their flashpoint to catch on fire.
ai_use_async_ragdoll_fixup | developmentonly,gamedll | 
ai_use_visibility_cache | developmentonly,gamedll,defensive | Sets whether or not NPCs can cache their Visibility checks against other entities. If set to 2, also tests to make sure that NPC->Target results match that of Target->NPC.
ai_use_visibility_cache_reciprocation | developmentonly,gamedll,defensive | Sets whether or not the visibility check cache should be reciprocal.
ai_vehicle_avoidance | gamedll,cheat | 
ai_waypoint_arrival_tolerance | developmentonly,gamedll,defensive | 
always_perform_full_spatial_partition_update | developmentonly,gamedll,clientdll,replicated | 
anim_disable | developmentonly,gamedll,clientdll,replicated | 
animated_material_attributes | clientdll,cheat | 
animgraph2_enable_parallel_update | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_debug | gamedll,clientdll,replicated,cheat | Debug animation graph
animgraph_debug_animevents | developmentonly,gamedll,clientdll,replicated | Print info about animevents emitted by AnimGraph
animgraph_debug_entindex | gamedll,clientdll,replicated,cheat | The entity to specifically debug
animgraph_debug_filterent | developmentonly,gamedll,clientdll,replicated,defensive | Filter setting for animgraph_debug_variables output. If set to -1, show debug for all entities. If set to 0, show debug for any NPCs that have been npc_selected. If set to >0, something other than 0, show debug for the entity with the matching entindex.
animgraph_debug_set_filter_params | developmentonly,gamedll,clientdll,replicated,defensive | Comma separated list of params to filter against when drawing debug text overlays
animgraph_debug_set_filter_tags | developmentonly,gamedll,clientdll,replicated,defensive | Comma separated list of tags to filter against when drawing debug text overlays
animgraph_debug_show_unreferenced_params | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_debug_show_unreferenced_tags | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_debug_tags | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_debug_variables | developmentonly,gamedll,clientdll,replicated,defensive | Turn on to see animgraph variable changes for entities passing animgraph_debug_filterent.
animgraph_debug_variables_ignore_missing | developmentonly,gamedll,clientdll,replicated,defensive | If set, animgraph_debug_variables won't show debug for warnings about sets to missing variables.
animgraph_debug_variables_ignore_nonchanges | developmentonly,gamedll,clientdll,replicated,defensive | If set, animgraph_debug_variables won't show debug for variable sets that don't change the value.
animgraph_draw_traces | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_enable | developmentonly,gamedll,clientdll,replicated | Enable animation graph
animgraph_enable_parallel_op_evaluation | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_enable_parallel_preupdate | developmentonly,gamedll,clientdll,replicated | 
animgraph_enable_parallel_update | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_footstep_node_supresses_events | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_network_enable | developmentonly,gamedll,clientdll,replicated | Enable animation graph networking. The setting is only read at graph creation time; to use please set on the command line.
animgraph_parallel_postdataupdate | developmentonly,clientdll,defensive | 
animgraph_record_all | gamedll,clientdll,replicated,cheat | Automatically start recording AnimGraphs when they get created, and save them to disk when they are destroyed
animgraph_slope_draw_raycasts | gamedll,clientdll,replicated,cheat | 
animgraph_slope_enable | gamedll,clientdll,replicated,cheat | 
animgraph_trace_ignore_prop_physics | developmentonly,gamedll,clientdll,replicated,defensive | 
animgraph_trace_static_only | gamedll,clientdll,replicated,cheat | 
announce_show_ids | clientdll,release | When set, will show the IDs of the various announcements, making updating/deleting easier
announcer_vo_disable_hero_test | developmentonly,gamedll | Toggles announcer in the hideout.
announcer_vo_disable_hideout | developmentonly,gamedll | Toggles announcer in the hideout.
astro_bouncepad_early_inactive_time | developmentonly,gamedll,clientdll,replicated | How long to deactivate the bounce pad prior to its deletion to compensate for the server.
audio_debug_health_fraction_change | developmentonly,clientdll,defensive | Prints/renders change in health fraction over course of buffer length.
audio_display_soundstack_debug_base_3d | gamedll,cheat | Displays citadel_base_3d sound stack debug.
audio_display_soundstack_debug_dialog | gamedll,cheat | Displays citadel_dialog sound stack debug.
audio_draw_opvar_obb_debug | developmentonly,clientdll | Draws obb opvar debug.
audio_enable_spawn_mask_mix_layer | developmentonly,clientdll,defensive | Enables the mix layer which mutes certain sounds at map load boundaries.
audio_enable_vmix_mastering | clientdll,cheat | Enables mastering DSP in vmix.
audio_enclosure_calc_enabled | developmentonly,gamedll,clientdll,replicated | Enables/disabled calculations that determine entity interior vs exterior.
audio_enclosure_speed | developmentonly,gamedll,clientdll,replicated | Adjusts rate of change for enclosure value over time.
audio_enemy_relevance_debug | developmentonly,clientdll | Enable debug spheres and screen text for enemy relevance.
audio_enemy_relevance_targeting_range | developmentonly,clientdll | Range to consider targeting local player.
audio_health_change_damage_priority_threshold | clientdll,cheat | Above this health fraction change damage audio is deprioritized in the sound system.
audio_health_delta_effect_release_rate | developmentonly,clientdll | Rate of interpolation once hold time has elapsed.
audio_health_loss_effect_debug | developmentonly,clientdll | Render health loss fraction change.
audio_health_loss_effect_enabled | developmentonly,clientdll,defensive | Enable/disable health loss audio effect.
audio_health_loss_effect_hold_time | developmentonly,clientdll | Rate of interpolation once hold time has elapsed.
audio_limiter_debug | gamedll,clientdll,replicated,cheat | Renders limiter debug spheres and enables logging.
audio_log_damage_recency_bias | gamedll,cheat | Prints player damage recency information.
audio_relevance_debug_enabled | developmentonly,clientdll | Displays audio relevance info.
audio_render_mixlayer_debug | developmentonly,clientdll | Renders mix layer debug.
audio_viewing_damage_debug | developmentonly,clientdll | Enable debug spheres for recent damage.
audio_viewing_damage_decay_time | developmentonly,clientdll | Duration for viewing damage to decays to 0.0.
audio_viewing_damage_hold_time | developmentonly,clientdll | Duration before viewing damage begins to decay.
audio_voice_volume_protection | clientdll,cheat | Sets linear scale volume limit for SOS.
automatically_open_saved_animgraph_recording | gamedll,clientdll,replicated | 
autosave_fully_async | developmentonly,gamedll,defensive | Set to 1 to have autosaves execute completely on the save thread, forces 'render only' mode while the save completes
ban_ignore_after_player_abandons | gamedll,cheat | After this many players have abandoned a match, no longer penalize additional abandons for the match. Set to 0 to not penalize abandoners
battery_saver |  | OBSOLETE replaced by mobile_fps_* - Battery saver mode. 0=off, 1=on
bookworm_debug_ult | developmentonly,gamedll,clientdll,replicated | 
boss_use_los_ultimate | developmentonly,gamedll,clientdll,replicated,defensive | 
bot_mimic | gamedll,clientdll,replicated,cheat,release | Allows bots to mimic player
bot_mimic_spec_buttons | clientdll,cheat | +attack, +jump etc are used for spectator control instead of being passed on to spectated bot
bot_mimic_yaw_offset | gamedll,cheat | Offsets the bot yaw.
bot_puppet | gamedll,clientdll,replicated,cheat,release | Allows bots to be puppeteered by the player.  The player will do nothing while the bots perform the inputs
break_damage_inherit_scale | developmentonly,gamedll,clientdll,replicated,defensive | 
break_invulnerable_spawn_duration | developmentonly,gamedll,clientdll,replicated,defensive | 
breakable_debug_spawn_transform_time | developmentonly,gamedll,clientdll,replicated | Debug draw the spawn transform location.
breakable_multiplayer | developmentonly,gamedll,defensive | 
buddha | gamedll,cheat | Player takes damage but won't die
buddha_ignore_bots | gamedll,cheat | Bots always buddha 0
buddha_reset_hp | gamedll,cheat | HP to set when damaged below zero in Buddha Mode
bug_submitter_override |  | 
buildcubemaps_renderdoc_capture | developmentonly,clientdll | Capture a specific cubemap with RenderDoc during buildcubemaps.
bullet_tracer_path_debug | clientdll,cheat | Debug: visualization time for bullet tracer particles (0 = disable)
c_maxdistance | clientdll | 
c_maxpitch | clientdll | 
c_maxyaw | clientdll | 
c_mindistance | clientdll | 
c_minpitch | clientdll | 
c_minyaw | clientdll | 
c_orthoheight | clientdll | 
c_orthowidth | clientdll | 
c_thirdpersonshoulder | clientdll | 
c_thirdpersonshoulderaimdist | clientdll | 
c_thirdpersonshoulderdist | clientdll | 
c_thirdpersonshoulderheight | clientdll | 
c_thirdpersonshoulderoffset | clientdll | 
cam_collision | clientdll | When in thirdperson and cam_collision is set to 1, an attempt is made to keep the camera from passing though walls.
cam_idealdelta | clientdll | Controls the speed when matching offset to ideal angles in thirdperson view
cam_idealdist | clientdll | 
cam_ideallag | clientdll | Amount of lag used when matching offset to ideal angles in thirdperson view
cam_idealpitch | clientdll | 
cam_idealyaw | clientdll | 
cam_showangles | clientdll,cheat | When in thirdperson, print viewangles/idealangles/cameraoffsets to the console.
cam_snapto | clientdll | 
camera_datadriven_debug | developmentonly,clientdll,cheat | 
camera_datadriven_disable_cache | developmentonly,gamedll,cheat | 
cc_captiontrace | developmentonly,clientdll,defensive | Show missing closecaptions (0 = no, 1 = devconsole, 2 = show in hud)
cc_delay_time | clientdll | Close caption delay before showing caption.
cc_lang | clientdll | Current close caption language (emtpy = use game UI language)
cc_linger_time | clientdll | Close caption linger time.
cc_log | developmentonly,clientdll,defensive | Log caption names and contents (0 = off, 1 = found captions, 2 = unfound captions, 3 = all captions)
cc_norepeat | developmentonly,gamedll,defensive | In multiplayer games, don't repeat captions more often than this many seconds.
cc_showmissing | developmentonly,gamedll,replicated,defensive | Show missing closecaption entries.
cc_spectator_only | clientdll | 
cc_subtitles | clientdll | If set, don't show sound effect captions, just voice overs (i.e., won't help hearing impaired players).
cc_vr_caption_catchup_interval | developmentonly,clientdll,defensive | Duration it takes for attached caption to ideal point
cc_vr_caption_speed | clientdll | 0 = slow, 1 = medium (default), 2 = fast
cc_vr_debug | developmentonly,clientdll,defensive | Debug visualization of VR closed caption placement
cc_vr_depth_test | developmentonly,clientdll,defensive | Have closed caption Panorama panel perform depth testing against the scene
cc_vr_epsilon | developmentonly,clientdll,defensive | Epsilon to trigger movement of VR subtitle panel in world space
cc_vr_font_size | clientdll | 0 = small, 1 = med (default), 2 = large
cc_vr_forward_offset | developmentonly,clientdll,defensive | Subtitle offset distance (forward, in front of player)
cc_vr_vertical_offset | developmentonly,clientdll,defensive | Subtitle vertical offset distance (positive is up)
cc_vr_width | clientdll | 0 = narrow, 1 = med (default), 2 = wide
chat_max_messages | developmentonly,clientdll | 
chat_ping_repeat_seconds | developmentonly,clientdll | 
chat_sequence_max_messages | developmentonly,clientdll | 
chat_sequence_within_seconds | developmentonly,clientdll | 
chat_top_bar_max_messages | developmentonly,clientdll | The maximum amount of chat panels we allow total
chat_top_bar_max_messages_per_player | developmentonly,clientdll | The maximum amount of chat panels we allow per player
check_transmit_dump_ents | developmentonly,gamedll | 
citadel_1v1_bonus_health | gamedll,clientdll,replicated,cheat | 
citadel_1v1_bonus_health_regen | gamedll,clientdll,replicated,cheat | 
citadel_1v1_bonus_tech_power | gamedll,clientdll,replicated,cheat | 
citadel_1v1_bonus_weapon_power | gamedll,clientdll,replicated,cheat | 
citadel_1v1_bullet_damage_multiplier | gamedll,clientdll,replicated,cheat | 
citadel_1v1_tech_damage_multiplier | gamedll,clientdll,replicated,cheat | 
citadel_abandon_pregame_if_not_connected_in_s | developmentonly,gamedll,defensive | After N seconds, if we don't have all the players connect to the match, the match will be abandoned. This only applies to the initial match start when going from players connecting to pregame
citadel_abandon_pregame_if_not_connected_in_s_dev | developmentonly,gamedll,defensive | After N seconds, if we don't have all the players connect to the match, the match will be abandoned. This only applies to the initial match start when going from players connecting to pregame, for dev
citadel_abandon_pregame_if_not_connected_in_s_streaming | developmentonly,gamedll,defensive | After N seconds, if we don't have all the players connect to the match with the streaming map, the match will be abandoned. This only applies to the initial match start when going from players connecting to pregame
citadel_abandon_pregame_if_not_connected_in_s_streaming_dev | developmentonly,gamedll,defensive | After N seconds, if we don't have all the players connect to the match with the streaming map, the match will be abandoned. This only applies to the initial match start when going from players connecting to pregame, for dev
citadel_abandon_time_for_match_not_scored | developmentonly,gamedll,defensive | If someone abandons before this match time (in seconds), we will call the match forfeit and not update mmr for anyone in the match.
citadel_ability_busy_queue_time | developmentonly,gamedll,clientdll,replicated,defensive | How long we will queue an ability activation to happen if the player tried to use it while busy.
citadel_ability_cancel_time | developmentonly,gamedll,clientdll,replicated,defensive | Min Time for a Channel before we can cancel it
citadel_ability_cast_cancel_mash_protection_time | developmentonly,gamedll,clientdll,replicated,defensive | Pressing a recently cast or channeled ability key will extend its mash protection by this much
citadel_ability_cooldown_max | gamedll,clientdll,replicated,cheat | 
citadel_ability_debug | gamedll,clientdll,replicated,cheat | 
citadel_ability_force_gold_collection | developmentonly,gamedll,clientdll,replicated,defensive | Adds the flag for ability targeting to find gold orbs. Sorta hacky.
citadel_ability_preview_path_debug_draw_dt | clientdll | DT for debug drawing ability preview path.
citadel_ability_select_mash_protection_time | developmentonly,gamedll,clientdll,replicated,defensive | Pressing a recently selected or cast ability within this time is ignored
citadel_ability_target_debug | gamedll,clientdll,replicated,cheat | 
citadel_ability_target_use_head_bone | gamedll,clientdll,replicated,cheat | 
citadel_ability_upgrade_sell_time | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_abrams_cone_debug | developmentonly,gamedll,clientdll,replicated | 
citadel_abrams_fastcharge_lagcomp | developmentonly,gamedll | 
citadel_abrams_max_charge_unlag_players | developmentonly,gamedll | 
citadel_accolades_enabled | developmentonly,gamedll | -1 = force disabled, 0 = default, 1 = force enabled
citadel_accolades_in_metadata_per_player | developmentonly,gamedll | The number of accolades stored in the metadata. -1 means all
citadel_action_refresh_interval | developmentonly,clientdll,defensive | 
citadel_activate_window_for_pregame | clientdll,release | If set, brings Citadel to the foreground when unpaused
citadel_activate_window_on_unpause | clientdll,release | If set, brings Citadel to the foreground when unpaused
citadel_active_lane | gamedll,clientdll,replicated,release | Which lane should be active? 0 means all
citadel_afk_detection_enabled | developmentonly,gamedll,defensive | Is AFK detection turned on?
citadel_ag2_controller_parallel_update_enabled | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_ag2_crouch_spring_strength | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_ag2_debug_draw_crouch_spring | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_ag2_debug_draw_facing | developmentonly,clientdll,defensive | 
citadel_ag2_debug_draw_look_target | developmentonly,clientdll,defensive | 
citadel_ag2_direction_commit_blend_time | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_ag2_direction_commit_min_time | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_ag2_fidget_max_interval | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_ag2_fidget_min_interval | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_ag2_loco_lean_trigger_speed | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_ag2_min_running_with_no_input_speed | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_ag2_run_to_stop_prime_speed | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_ag2_run_to_stop_trigger_speed | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_ag2_turn_spring_strength | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_ai_path_pathing_time_ms_per_tick | developmentonly,gamedll | 
citadel_aim_capsule_trace_debugdraw | developmentonly,gamedll,clientdll,replicated | 
citadel_aim_debug_duration | developmentonly,gamedll,clientdll,replicated | Duration to draw the various traces that formed a shot.  Set to a negative number to view the current angles without shooting.
citadel_aim_debug_name_filter | developmentonly,gamedll,clientdll,replicated | Enter space separated names of calls to DebugDrawAimTrace() to only draw them.
citadel_aim_line_trace_debugdraw | developmentonly,gamedll,clientdll,replicated | 
citadel_air_drag_min | gamedll,clientdll,replicated,cheat | 
citadel_air_jumps_enabled | developmentonly,gamedll,clientdll,replicated,defensive | Enable to disable air jumps
citadel_aircontrol_speed_fast | gamedll,clientdll,replicated,cheat | 
citadel_aircontrol_speed_slow | gamedll,clientdll,replicated,cheat | 
citadel_airheart_debugdraw | developmentonly,gamedll,clientdll,replicated,cheat | 
citadel_airheart_freefly | developmentonly,gamedll,clientdll,replicated,cheat | 
citadel_allow_ally_pings | clientdll,release | 
citadel_allow_ally_text | clientdll,release | 
citadel_allow_ally_voice | clientdll,release | 
citadel_allow_biased_urn_pickups | developmentonly,gamedll,clientdll,replicated,defensive | 
citadel_allow_client_higher_version_for_reconnect | clientdll,release | When set to true, the client is allowed to connect so long as the client compat version is higher than the server's
citadel_allow_duplicate_heroes | gamedll,clientdll,replicated,release | If enabled, heroes can be selected by multiple players
citadel_allow_new_player_flow_finished_override | developmentonly,clientdll | citadel_new_player_flow_finished can't be turned off (because of the callback) unless you reset the other new player convars. This allows you to turn it off.
citadel_allow_opponent_text | clientdll,release | 
citadel_allow_party_pings | clientdll,release | 
citadel_allow_party_text | clientdll,release | 
citadel_allow_party_voice | clientdll,release | 
citadel_allow_pause_in_match | developmentonly,gamedll,defensive | Allow players to pause in matchmade games
citadel_allow_pausing | developmentonly,gamedll,clientdll,replicated | Determines if pausing is enabled. Temporary until we get pausing stable
citadel_allow_playofthegame | gamedll,clientdll,replicated,cheat,release | If enabled, play of the game will happen
citadel_allow_purchasing_anywhere | gamedll,clientdll,replicated,cheat | If enabled, you can purchase upgrades anywhere
citadel_allow_spectated_pings | clientdll,release | 
citadel_allow_spectated_text | clientdll,release | 
citadel_allow_team_change_when_assigned | developmentonly,gamedll | 
citadel_always_show_active_hud_stats | clientdll | 
citadel_always_transmit_abilities | developmentonly,gamedll | Enable to always force transmit ability entities
citadel_announcement_banned_heroes_display_time | developmentonly,clientdll,defensive | 
citadel_announcement_display_time | developmentonly,clientdll,defensive | 
citadel_announcement_game_over_msg_display_time | developmentonly,clientdll,defensive | 
citadel_arrow_brightness | developmentonly,clientdll | Changes the zipline arrow brightness
